ncbi_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,gene_id,uniprot_id
BAA10077.1,379.888796451186,-0.10509197650304457,0.11906729067734406,0.3625991449303855,0.4776837634428389,umpS,slr0185,Q55574
BAA10078.1,1533.3025109250932,0.010596669209447534,0.10155855153778505,0.9155351494467971,0.9415847565442755,sll0154,sll0154,Q55575
BAA10079.1,1923.5814921179976,-0.776495257890785,0.09249295720373392,1.4006311837712403e-17,2.0770043622590616e-16,leuA,slr0186,P48576
BAA10080.1,1351.9629112190987,-1.4252279693907344,0.12412472311521891,2.0147742073049786e-31,7.517490859514275e-30,slr0359,slr0359,Q55576
BAA10081.1,700.8718675981003,0.5166024839717309,0.10083697418091402,1.623343567330313e-7,1.0450838921402942e-6,slr0360,slr0360,Q55577
BAA10082.1,256.09232591251964,0.5575601410964572,0.14564932016032422,6.216516636911065e-5,2.5407906631426847e-4,slr0361,slr0361,Q55578
BAA10083.1,237.94447159049278,0.48001543549939907,0.1361585262498428,2.4068722681120717e-4,8.627940878459596e-4,slr0362,slr0362,Q55579
BAA10084.1,1216.6040930681047,0.23036096003482262,0.09174007177357472,0.010590110724000528,0.025066633159810253,sll0350,sll0350,Q55580
BAA10085.1,2297.786873408125,0.050004773144828235,0.10885494404784692,0.6380283442197533,0.7315401889929883,psbI,sml0001,Q54697
BAA10086.1,89.73098159772297,0.023322600502122974,0.18466364418930947,0.8928153745597869,0.926733278409351,slr0363,slr0363,Q55581
BAA10087.1,754.5943886977943,2.3201489887130986,0.2855695761138849,3.224615638089066e-17,4.741278078037737e-16,slr0364,slr0364,Q55582
BAA10088.1,663.5696242972681,1.4573591144630877,0.13510341634876236,4.8331928591168425e-28,1.4841751523128712e-26,slr0366,slr0366,Q55583
BAA10089.1,5454.799034865419,-0.23474198735176102,0.08685125821819695,0.005978541518736891,0.015242864856735497,slr0369,slr0369,Q55584
BAA10090.1,1360.0658543742263,0.1250354750321135,0.09410058605295109,0.17719449238044327,0.27275066701110634,gabD,slr0370,Q55585
BAA10091.1,348.7440166239909,-0.354929848647784,0.11749245718456475,0.001826142563135769,0.005361010739493331,sphS,sll0337,Q55586
BAA10092.1,767.621435723831,-0.6613563322588037,0.09750510093750955,4.5706518173065256e-12,4.4551016309139447e-11,accD,sll0336,Q57417
